fe,num_examples,baseline.fn,fn+exemplars,fn+exemplars+siblings,fn+exemplars+srl
Containment_relation;Ground,1,0,0,0,1
Continued_state_of_affairs;Reference_occasion,6,1,1,1,1
Continued_state_of_affairs;State_of_affairs,6,0,0,0,0
Contrition;Action,3,0,0,0,0
Contrition;Depictive,1,0,0,0,0
Contrition;Emotional_state,2,0,0,0,0
Contrition;Experiencer,1,0,0.5,0.5,0.5
Contrition;Expressor,1,0,0,0,0
Contrition;Manner,1,0,0,0,0
Convey_importance;Medium,1,0,0,0,0
Convey_importance;Message,1,1,1,1,1
Correctness;Information,1,0,1,1,0
Cotheme;Cotheme,1,1,1,1,1
Cotheme;Theme,1,0,0,0,0
Craft;Activity,3,1,0,0,0
Craft;Culture,2,0,0,0,0
Craft;Descriptor,1,0,0,0,0
Creating;Cause,4,0,0,0,0
Creating;Created_entity,8,0.625,0.625,0.625,0.75
Creating;Creator,2,1,0.8,1,1
Creating;Purpose,1,0,1,0.666666666666667,1
Creating;Purpose_of_created_entity,1,0,0,0,0
Cure;Affliction,1,0,1,1,1
Custom;Behavior,2,0,0,0,0
Custom;Descriptor,1,0,0,0,0
Custom;Domain,1,0,1,1,1
Custom;Protagonist,2,0,0,0,0
Custom;Society,1,0,0,0,0
Damaging;Agent,1,0,0,0,0
Damaging;Cause,1,0,0,0,0
Daring;Action,1,0,1,1,1
Daring;Agent,1,0,1,1,1
Dead_or_alive;Protagonist,1,0,1,1,1
Death;Protagonist,4,0.75,0.666666666666667,0.666666666666667,0.666666666666667
Death;Sub_event,3,0,0,0,0
Deciding;Cognizer,2,0.4,0.5,0.4,1
Deciding;Decision,4,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
Deciding;Time,1,1,1,0,0
Defend;Defender,1,0,0,0,0
Degree;Gradable_attribute,9,0.615384615384615,0.875,1,0.941176470588235
Degree_of_processing;Degree,2,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
Degree_of_processing;Material,3,1,0.8,0.8,0.8
Delivery;Deliverer,2,0,0,0.666666666666667,0
Delivery;Recipient,1,0,0,0,0
Delivery;Theme,3,1,0.5,0.8,0.5
Departing;Source,20,0.333333333333333,0.974358974358974,1,0.974358974358974
Departing;Theme,22,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909
Departing;Time,10,0.5,0.571428571428572,0.380952380952381,0.571428571428572
Deserving;Action,1,0,1,1,1
Deserving;State_of_affairs,1,0,0,0,0
Desirability;Affected_party,1,0,0,0,0
Desirability;Degree,1,0,0,0,0
Desirability;Evaluee,21,0.619047619047619,0.619047619047619,0.714285714285714,0.619047619047619
Desirable_event;State_of_affairs,4,0.25,0.25,0.25,0.25
Desiring;Event,23,0.439024390243902,0.512820512820513,0.378378378378378,0.526315789473684
Desiring;Experiencer,21,0.909090909090909,0.909090909090909,0.883720930232558,0.909090909090909
